Review and Approval Meeting - Chemical - Session 2 
mié, 11 de dic de 2024

0:05 - Unidentified Speaker Hi, everyone. We'll just give a few minutes for everyone to join. You.
53:47 - Yaser Salem Bin Zubaa (ADNOC - GP) I would like to add anything from your side. Your point will be captured by the KBMG team here. And inshallah, I think your point valid for all. Not all, I think for the bridge. I think this board already we discussed and we raised it at the beginning of this task. They want to see multiple scenarios. I think we have multiple workshops have been conducted with the team here and with the bridge team. Also, they are invited and they are participate in that workshop. Whereas the same, they want to see the multiple scenarios. I think as explained by Mohamed Noumani here, that after the configuration of the system to start the designing, they will have, I think, correct data. They can capture the information and materials so that we can see the multiple scenarios. So that during this stage, we will see now how the IBP system will add value during the or the designing stage. We'll have multiple scenarios. At the end, we'll let us agree and we'll be satisfied that, oh, yes, the IPB will add value, so let's continue with the sign-off and the implementation.

54:55 - Abdulrahman Al Meqbaali (Borouge) Yes. Only my point now, since we are in design phase, okay, there should be no restriction to make some test run. This is the idea. This test, it's like a drawing Then by I'm not talking about test run for system. At least how the designers will be run. The workflow should be very clear. Then we can. We can give some comment there.

55:22 - Yaser Salem Bin Zubaa (ADNOC - GP) Yeah, you made the workflow delegation for 30 here. The workflows mean delegation for 30 or what exactly?

55:29 - Abdulrahman Al Meqbaali (Borouge) The process, the process workflow, how it will move, not delegation for 30.

55:35 - Yaser Salem Bin Zubaa (ADNOC - GP) Yes, yes, yes. I think during the configuration designing, you will see everything with your eyes. So that you will see the workload, you will see how the SAP IP capture the data, how can the segmentation, classification, and everything it will be. And also in this document, we have a workflow also. Maybe you will see it. Inshallah, we'll discuss it down. I think in page number six, we have the workflow. So I think let's move forward, I think, Abdurrahman. Yeah, it's OK. The document is already the workflow process. Already captured in this document so that let us move forward. We'll discuss it. Go ahead. Yeah, yeah, yeah, we need. We need just extra explanation there. So that now for this point, are you would like to add anything on this comment? Will consider that this result. Fine, Sir, this is clear.

56:35 - Arunkumar Viswanathan (ADNOC Refining - HQ) My ask is very simple in the document. They have to mention what are the features of this. That's it. I'm just trying to support them good way.

56:49 - Unidentified Speaker That's it. Not at all.

56:51 - Yaser Salem Bin Zubaa (ADNOC - GP) Can you please capture that one and reply to this point here if you want?

56:56 - Mohamad Naamani (ADNOC Group D&CS) These are mentioned Arun and team and the BRD. So BRD refers to what are the features. Shows the new process and how it's supported by the solution. Unless I missed your point, Arun. Rahul and Tim, if you'd like to elaborate.

57:12 - MM- SKEC2 - L08 Yeah, that's correct. So this is BP document which details the process and how we are going to execute. The BRD document for chemicals has all the chemical requirements and then how IBP is trying to, it summarizes the benefits of the tool. As a summary, and then explains for every requirement how IGP will solve that requirement. And in this document, the intention is not to summarize or give benefits of the tool, but to go through the details of the process, which is discussed during the workshops. So Arunkumar, can you have a look at the BID document as well for chemicals? And if there is any feedback on the features of the tool, we can incorporate that further. In this document we would like to focus on the details of the process which is to be processed.

58:05 - Yaser Salem Bin Zubaa (ADNOC - GP) Just apply to then to this point. I mentioned that this already captured in the BRD document as a reply here for this.

58:13 - Arunkumar Viswanathan (ADNOC Refining - HQ) I'm just so happy that the BRD online you can mention this. What are the benefits we are going to get in IBD?

58:22 - MM- SKEC2 - L08 This has been shown in the BRD document. Yeah, the BRD and the appendix everyone. So when you look at it you will see the benefits of IBP. At the end of this document. Shall I go to that will be replied to this comment? I don't have to discuss now that in BRD and will profit.

58:44 - Ali Mohammed Ahmed (ADNOC Onshore - PD) Can you share also the BRD document so everybody can review it?

58:49 - MM- SKEC2 - L08 Yeah, here it is. I think that we are. It's shared with the team, Kunal. So we will align how the document can be sent. But BRD is also sent to the team. We are also getting feedback on BRD from the team.

59:10 - Unidentified Speaker Yeah.

59:10 - MM- SKEC2 - L08 Kunal, the team can review the BRD. Let's continue with the VPD. Then the team can review it after.

59:21 - Kunal Sheth (ADNOC Group D&CS) Yeah, so let us move to the next point. That is also from Arunkumar. Which are not falling under regularly replenish item or the item stock are not monitored by the inventory team. So it is more of an operational support.

59:41 - MM- SKEC2 - L08 I think we discussed this point as well, correct? Just now. That the planning in IVP IVP is not on that one or PD type but on reorder point and advanced supply planning and we also confirm that both the processes of IVP. Rahul, whatever you are telling just mention in the document.

1:00:02 - Arunkumar Viswanathan (ADNOC Refining - HQ) Okay. Everyone can understand this. Okay. It is not Arun Kumar division. Maybe next year I may not be there in this team. Maybe somebody will read this document. Agreed. We will read the document but I just want to update. Understanding in the first read that's it.

1:00:19 - MM- SKEC2 - L08 Got it so I agree we will update the comment, but I just want to agree before we put a comment that this is what we discussed and we're aligned correct and I'll put the comments.

1:00:30 - Arunkumar Viswanathan (ADNOC Refining - HQ) See wherever it is required to capture in the document, no capture it. It is not necessary not to give a reply to my query.

1:00:38 - MM- SKEC2 - L08 I agree, I agree. So we will. We will. I agree we will make sure that the replies are updated in the document so for everyone to understand.

1:00:46 - Yaser Salem Bin Zubaa (ADNOC - GP) Yeah, hello that he would like to see it. You see your reply not in the comment. They want to see it in the document itself. So that's any whatever you mentioned. I think we have a reply from Hamid Farouk. Mention it here and also in the document. Yes, I mean maybe you have some. Thank you also Hamid Farouk for 40. I think he replied most of the comments here, but the team here would like to see it again.

1:01:14 - MM- SKEC2 - L08 Yes, for this one I think we have a lot. Yes, go ahead. Yeah, so yeah, so I agree if if the comment says that we're going to update the document and update is required for sure. Yes, but if it's just a clarification and should not come in the Content then we will not end in the content, right?

1:01:34 - Arunkumar Viswanathan (ADNOC Refining - HQ) It is not a clarification. The thing is, we are not understanding from the from the document. So somebody is written the document. Or not it is not covered these topics, so we are asking this in our comment section, it is relevant including the document that is all.

1:01:54 - Yaser Salem Bin Zubaa (ADNOC - GP) Yeah the meaning the meaning need to be reflected in the document, so again you will not have For example, here I will mention Zed Kim and Zed Kat. Someone here raised that one. Maybe this is my comment. All chemicals under Zed Kat, you mentioned it here, both sides. So also for the Aru Kumar and the team here, mention it. Do paraphrase for that one, and instead of this word, put your reply in the document. They want to see it. And rather than to have the same question as mentioned by Ali, they will still asking the end user. Just capture it, update that document, forward it to us, for final review and we'll proceed.

1:02:39 - Mohamad Naamani (ADNOC Group D&CS) Whatever example or clarification it can be added as an example.

1:02:44 - Ali Mohammed Ahmed (ADNOC Onshore - PD) You can put an index also if someone if something and it is only an explanation elaboration the same point you can put an index too for anybody can go and refer me. As an attachment to the document.

1:03:04 - Mohamad Naamani (ADNOC Group D&CS) Yeah, very valid, like FAQs at the end or key points. Yeah, just further clarification. This way, whatever we capture team in the comments can be like at the end as a summary. Fair enough.

1:03:20 - Ali Mohammed Ahmed (ADNOC Onshore - PD) No, some wherever point need to be changed in the document or on the document itself, then update to the document. Yeah, if it is only elaboration or general explanation, the meaning in the document maybe is not clear and need to be, if possible, to update it in the document. Okay, but if you feel that it's too much, then you can make an index and add it as an attachment.

1:03:48 - Mohamad Naamani (ADNOC Group D&CS) Yeah, fair enough. If it's general, not specific to one paragraph or one sentence.

1:03:53 - MM- SKEC2 - L08 Yeah, exactly. Fair enough. Thanks.

1:03:55 - Rido Mardian (ADNOC Sour Gas - Procurement) In your other document, like inventory planning, you have a glossary table there. In this chemical, you don't put any glossary.

1:04:04 - Unidentified Speaker We have glossary, right?

1:04:06 - Rido Mardian (ADNOC Sour Gas - Procurement) In other document, like the inventory planning document, I noticed you put glossary in this chemical. It's page number 6 glossary is there, right?

1:04:19 - MM- SKEC2 - L08 Page number 6, can you go? There is a glossary.

1:04:24 - Rido Mardian (ADNOC Sour Gas - Procurement) Yeah, you can put it here. Any any term or mapping additional that as explanations you can add up in in this table is it possible is it we can add uh yeah uh for the key terms for the key terms and uh specifically about also

1:04:45 - MM- SKEC2 - L08 the mrp types and why we're not taking into consideration the mrp types and the demand And the glossary. I don't know what that work for you.

1:05:01 - Unidentified Speaker I think you can.

1:05:04 - Kunal Sheth (ADNOC Group D&CS) Yeah, I think this point we will update in the document as I mentioned, so let us move to the next point.

1:05:19 - Unidentified Speaker Hi Jonathan.

1:05:21 - Kunal Sheth (ADNOC Group D&CS) So this is from Hazart and Buruj. So majority of almost 80% of the roles in chemicals demand planning belongs to operation planner and operation manager who need to be taken on board in the process. So this is more of an information, so nothing to do with the UPD update.

1:05:41 - Abdulrahman Al Meqbaali (Borouge) So it is. This one while reviewing, we found majority of this actions are lying on operations so that at that time operation was not involving in the in the meeting so that and again here a am team to be involved here yes

1:06:04 - Yaser Salem Bin Zubaa (ADNOC - GP) to take the alignment yes yes operation operation yes operation sorry the operation So that we need to have a focal point, we need to communicate with them, let them review it. If they agreed, we can move forward.

1:06:22 - Arunkumar Viswanathan (ADNOC Refining - HQ) Because the most important thing is that Z-Chem category, Mr. Yaser, Z-Chem category will fall under two groups. One, the process chemical comes under directly the operation.

1:06:31 - Unidentified Speaker The laboratory chemical comes under the maintenance.

1:06:34 - Yaser Salem Bin Zubaa (ADNOC - GP) I think for the chemicals, you're not covered here, right, Khalid? The chemical industry is already allowed.

1:06:40 - MM- SKEC2 - L08 I mean lab chemicals are not covered as per as per our description. We are focusing on the process.

1:06:47 - Arunkumar Viswanathan (ADNOC Refining - HQ) Lab chemical is coming under that come category material type.

1:06:51 - Yaser Salem Bin Zubaa (ADNOC - GP) So we think that chemical yes, let's go ahead.

1:06:55 - MM- SKEC2 - L08 So when we are putting up data extractors will will align with the technical team on how to differentiate those and filter out those matters so that the right process chemicals are getting extracted to IBP.

1:07:09 - Arunkumar Viswanathan (ADNOC Refining - HQ) this document mention a word this excludes laboratory chemicals and its spares.

1:07:14 - MM- SKEC2 - L08 Okay noted.

1:07:15 - Jaganath Doss Thangadurai (ADNOC - PE&ICV) I think the chemicals with levels will be excluded from this process yeah. Yes. Karun correct me.

1:07:22 - Arunkumar Viswanathan (ADNOC Refining - HQ) This is a problem from the review of document everyone now we are going on an assumption because no other document is I mean defining with our regular the usage of wordings. So this we've noted this we will clarify this point regarding the level every week meeting this point I'm highlighting you're also noting this but no one is reflected in the document the design document. Even in your spreadsheet file even you used to maintain every end of each meeting no you used to not the same comment the terminology it has to be captured in the document but the existing terminology nowhere it is reflected

1:08:14 - Unidentified Speaker in the document. Okay noted so we'll proceed now.

1:08:19 - Kunal Sheth (ADNOC Group D&CS) Yeah let us move to the next point from Yaser all chemicals and their material types are So this is already updated.

1:08:32 - Unidentified Speaker I'm on the property.

1:08:35 - Yaser Salem Bin Zubaa (ADNOC - GP) And we have also another further questions by our Kumar regarding the same.

1:08:42 - Kunal Sheth (ADNOC Group D&CS) Please bring the same thing we just discussed.

1:08:47 - Unidentified Speaker Yeah, it's the same. Yeah.

1:08:50 - Yaser Salem Bin Zubaa (ADNOC - GP) How come are you OK now for your comment? Yes, OK, go ahead. Now, with Ali, he mentioned by end user. Yes, I agree with him, by end user.

1:09:05 - Kunal Sheth (ADNOC Group D&CS) Both are met with the end user process maps. End user will provide forecast for new material via IVP Excel template. So this is what the new material introduction, where the solution, which we have discussed for the MRO, the four different options, So here, we have discussed and agreed that end user will provide the forecast and the planning views directly in the IVP. So that is the point which we are referring here, based on our last discussion on Thursday.

1:09:44 - Yaser Salem Bin Zubaa (ADNOC - GP) This is for the newly created items, right? Yeah, newly created item for the chemicals.

1:09:51 - MM- SKEC2 - L08 Yeah, so for the newly created item, items we discussed, right, that if the reference model is not available, NUDL will provide the forecast for the newly created model. So we have two options, either to input a reference model. If reference model cannot be inputted, then directly input the forecast.

1:10:11 - Yaser Salem Bin Zubaa (ADNOC - GP) I think I saw this, some comment, I think, maybe down, regarding the same here, maybe by Mr. Hajaratkhan or by the team. We'll see it down. He mentioned something about this and we'll see it down. Now go ahead.

1:10:28 - Kunal Sheth (ADNOC Group D&CS) Yeah, let us go to this one. Please. Please detail in the document what type of MRP type to be maintained for the new item code creation as this is important to decide which item fall under demand planning. That means without levels and which will be under entry planning with levels. So on S-400, the MRP type will be external planning for all material that will be planned in IBP. In IBP supply planning, IBP will determine the correct planning type, advanced supply planning or reorder planning. So still it is not, answer is not clear. So that we need to address with the MRP type. Mamath Thakuri, so this we need to specify. So that answer is. I think, I don't.

1:11:12 - Arunkumar Viswanathan (ADNOC Refining - HQ) It is a new item for creation. What are the MDGs? Parameters you have to maintain, you just brief in this document.

1:11:22 - Unidentified Speaker Yes.

1:11:23 - MM- SKEC2 - L08 So basically, the MRP type will no longer be BD. So what will be, what will change is exactly what we're mentioning. So when you're creating the material and the MRP type field, it will be now external planning. So what this means is that all materials that will be considered for IBP will have the external planning type. So from an S4 perspective, those are not planned by S4 HANA MRP. So the MRP type for all the material has to be external planning, which means that S4 HANA is not planning material. Which is an external tool, is planning this material.

1:12:11 - Arunkumar Viswanathan (ADNOC Refining - HQ) But it is not captured anywhere in the document at all.

1:12:16 - MM- SKEC2 - L08 I am adding this comment in the glossary. So it was not mentioned in the document because from a demand perspective, this is replenishment strategy. When you say MRP type, this is part of the supply planning from IVP. Well, how are we fulfilling the material which is the demand so here it this document focuses on the demand and not how the demand is fulfilled so that's why it was not mentioned so we'll add this in glossary to

1:12:55 - Kunal Sheth (ADNOC Group D&CS) be clarifying here but then details of this would be in the supply planning document so maybe here as a no note moment for free.

1:13:08 - Arunkumar Viswanathan (ADNOC Refining - HQ) We can mention the reference putting in the glossary mentioned here itself.

1:13:14 - MM- SKEC2 - L08 No, what is the problem?

1:13:17 - Unidentified Speaker Yeah, it is. It is added now.

1:13:21 - Arunkumar Viswanathan (ADNOC Refining - HQ) Does it define the existing and what is the new parameter we have to follow?

1:13:29 - Unidentified Speaker You added.

1:13:30 - MM- SKEC2 - L08 We've added probably if you refresh this, But yeah, we've added here only.

1:13:36 - Kunal Sheth (ADNOC Group D&CS) Yeah, I wrote it down so this will update later on. Let us move to the next point from any moment.

1:13:44 - Yaser Salem Bin Zubaa (ADNOC - GP) I think it is for this point. Also have a question from from just go from Amran. He mentioned here in the chat box. How is the interface between MDG and this tool since the new material created and Rob? Are updated and updated This is in the chat box by Amran. Amran, can you please open the mic and go ahead?

1:14:09 - Imran Khan Aejaz Khan (Borouge) Yeah, normally while creating the material, the end-user, they request through MDG. With the initial planning, how much material they require, and ROP, all are being updated by end-user. And they just go through MDG. From cataloging, they create the material. And the inventory, they update the MRP controls. How it will be linked? This tool? That's the question.

1:14:33 - MM- SKEC2 - L08 So for IVP, we need first material in S4 HANA before it can come into IVP because IVP depends on S4 HANA for MOSFET, which means that your current MDG process will go ahead and create the material. Once the material is created in S4 HANA for MDG, it will be expected on IVP and then IBP based upon the forecast in the inventory planning process will propose the new parameters. If those new parameters are same as what created at the time of MDG, then there will be no change. But if there are change, then those parameters based on IBP would be recommended for inventory planner to review and change.

1:15:21 - Imran Khan Aejaz Khan (Borouge) So you mean to say this will automatically detect and then it will be before creating the SAP number, it will be reviewed with the end user too?

1:15:32 - MM- SKEC2 - L08 No, so the current process of MDT, IBP cannot work if there is no material number available. So IBP needs a material code from S4 HANA before it can do anything about it. So it's a primary field for IBP, which means that first material code has to be created in a for HANA through the current process. And once the material code is available, IDP can optimize the parameter.

1:16:04 - Imran Khan Aejaz Khan (Borouge) So it means that after creation of the material, then only the IDP will give the trigger, right?

1:16:13 - Aysha Abdulla Al Ali (ADNOC - GP) This is what you're saying. Correct. Correct. So Rahul, while reviewing the MDG, I don't with any parameters for inventory?

1:16:23 - MM- SKEC2 - L08 Oh, that can be a discussion which we need to conclude on what parameters to be set in MDG while creating material and what parameters should not be. Created in MDG, but yeah, we need to decide and discuss upon like what gets updated for sure.

1:16:43 - Aysha Abdulla Al Ali (ADNOC - GP) Has to create material because we need a material code, but along with the material code, Before the item is created we have I have to like fill some parameters which is mrp type inventory type parameters and this so how can like yeah I mean how it will be like work together yes either I don't do and I will suggest then I will fill or it's why there's a need to be I think that's why we need to

1:17:12 - MM- SKEC2 - L08 have sorry I said we need to have this discussion where we need to align separate on what parameters should be updated in MDG and what parameters will get updated from IBP. I think we will not have this conversation to align upon at a parameter level what will go into MDG first. So I think this should be an open point for follow-up discussion. Yeah, okay, Rahul mentioned this in this document. Yeah, let's add this open point for follow-up discussion that what should be the MDG request for new materials and what parameters are to be updated.

1:17:53 - Abdulrahman Al Meqbaali (Borouge) Just to give a highlight how it's done right now. There is some parameters that's already set up in Excel file where end user will add the forecast. Based on this, the formula will which MRB type should be for this material. It's going in this way. Then, after he creates the material, he will send the submit for creation. It will go to all fields that will pass to inventory. Inventory will update the MRB type on these things. First, for sure, we'll review compared to other materials, see if it's right to keep at this type of MRP or not. So the idea now it's like this generated MRP. So there is a barometer, but it's maintained in Excel file.

1:18:54 - MM- SKEC2 - L08 Yeah, noted. So probably we will consider this input for further this discussion on what parameters to be updated in MDG so that we can align that model creation process for MDG as well.

1:19:09 - Imran Khan Aejaz Khan (Borouge) Yes. This tool will be enhanced with the MDG, it will be better because it will be double job.

1:19:15 - MM- SKEC2 - L08 The only challenge here Imran is that we need MERTIL number to start with and the MERTIL number cannot be created unless the request is created in MDG. So we have kind of chicken and egg situation here where we need MERTIL number to do anything in IVP, but the MERTIL number itself needs some of the parameters to be created, which means we need to close on this discussion on what parameters would be updated when the material is created, and then what parameters would be updated by IBP once the material is available in IBP. That's something we need to have a separate conversation and resolve that process.

1:19:53 - Imran Khan Aejaz Khan (Borouge) Yeah, better to add in this document so that we can have it.

1:19:57 - MM- SKEC2 - L08 Yeah, we've added it in the open point. We've added it as an open point because from an IBP perspective, the process of demand forecast does not change. But for sure, for you to even forecast demand, the multiple code creation process outside IBP will change. So we've taken the note of it as an open point, and we'll close that point as part of this discussion.

1:20:29 - Unidentified Speaker Yeah.

1:20:30 - Kunal Sheth (ADNOC Group D&CS) Let us move to the next slide. Early moment point for new chemical demand plan to be by end user at the beginning then after first quarter from the date of delivery it will be based on consumption in EU and user manual input. This is the way how process flow will behave. So after first quarter system will pick up the consumption history for the three months and then based on that system will propose the forecast for the new chemical material. Till the time end user will enter the demand plan in IPP directly as a manual input.

1:21:21 - MM- SKEC2 - L08 Yes, it could either be a manual input or it could be based on historic consumption. End user. Uh also for the for the new materials, it will be based on, uh, so it's the end user will have to, uh, manually select the reference. Material because, uh, that that was the agreement for chemicals. Specifically, uh, we want the end user to start specify what what the reference is and then after once we have enough consumption for the new material then the forecasting will be based on actual historical function If there is a

1:22:12 - Ali Mohammed Ahmed (ADNOC Onshore - PD) reference number if there is a similar chemical Exactly similar chemical, but in most of the chemical even if the application is the same But any new chemical is different from another chemical. Application may be same, but it's a different chemical. So we cannot only consider the historical. It has to be a new requirement. Correct. We agree, and that's where we have added this comment.

1:22:45 - MM- SKEC2 - L08 So that if it is not, if the reference model cannot be identified, then NDSER will provide Based upon your feedback. Yeah. So this point is covered.

1:22:57 - Yaser Salem Bin Zubaa (ADNOC - GP) For the new camera here, because because some materials are consumed, not only after created that items, maybe we'll create that item that we ordered. We keep it in our store, but the consumption will be after 4 hours for years. For example. Maybe not the first one, overhaul, I'm sorry. So that I think you mentioned how can you the IPB can capture that when it will be best use you mentioned that based on the hysterical consumption here. Suppose that we have one material order and kept in our store with and the consumption after four years so that after four years it will be start the IPB to calculate the forecasting for this item?

1:23:44 - Kunal Sheth (ADNOC Group D&CS) For the same item yes it will be after four years. No, another item, not the same items. No, for the same item, if we have a reference material of the similar chemical characteristics, then it will try to read the historical data of the reference material and then it will forecast for the new material.

1:24:08 - Yaser Salem Bin Zubaa (ADNOC - GP) The forecast is based on the historical data or historical consumption. Correct, if now we have new material number created in the system and now the items already ordered and kept in our store, but the consumption after four years. So that now that mean how to be considered with no consumption of this item, right? And for somebody or what exactly?

1:24:33 - MM- SKEC2 - L08 Yes, and when you say that you have the stock of the new metal, how are you planning the stock of the new?

1:24:41 - Unidentified Speaker Yes. How?

1:24:43 - MM- SKEC2 - L08 Because if you're planning stock of the new model, which means the new model should first come in IPP, we should create demand to even buy the stock. And once the demand is available, stock is available. You can consume as per your consumption plan, right?

1:25:00 - Unidentified Speaker OK. I like thank you.

1:25:02 - Yaser Salem Bin Zubaa (ADNOC - GP) I like that because I think and what I understand from you that it will be once that item or the consumed so that SAP capture the historical consumption for that item, right?

1:25:14 - MM- SKEC2 - L08 No, so for for consumption to happen, we need to first forecast it and demand it, right? So so that is what Ali moments talking about it even before you start the new item. Manual input should be given for for first time procurement. So that's based upon the forecast you manual input. You will buy the material and then once the consumption happens, forecast will the consumption will drive the forecast for future periods. So first we need to forecast then consumption and then the new then the consumption will drive again the forecast for the future period.

1:25:55 - Arunkumar Viswanathan (ADNOC Refining - HQ) When this supply planning requirements will occur for example I am creating a new item code and this item is required December 2025. So whether the system will alert me with when I should raise the PR?

1:26:13 - MM- SKEC2 - L08 So it is part of same planning cycle. So if say for the month of December 2025 if you need a material and then you receive this input in say January 2025 which means that the forecast the demand will be updated in January 2025. In the month of January 2025 you will know that OK, based upon the lead time you need to raise a PR saying June considering there is a six months lead time. Then this information will be available the moment you create the forecast in demand.

1:26:51 - Unidentified Speaker The same month you will have the proposal for supply planning based on the lead times.

1:26:57 - Arunkumar Viswanathan (ADNOC Refining - HQ) That's the time for recording. See while doing the codification, It is not necessary to give the forecast, correct?

1:27:06 - Unidentified Speaker In that case.

1:27:07 - MM- SKEC2 - L08 If you don't have forecast, then there will be no supply.

1:27:11 - Arunkumar Viswanathan (ADNOC Refining - HQ) Consider an item is a catalyst because catalyst normally it is not a frequently consuming item.

1:27:17 - Unidentified Speaker Yeah.

1:27:18 - Arunkumar Viswanathan (ADNOC Refining - HQ) So how to have this forecast?

1:27:20 - MM- SKEC2 - L08 So if the if it is not frequently consumed, it will still have some consumption history and IBP will propose future forecast based upon that consumption history. Even if it is not frequent.

1:27:33 - Arunkumar Viswanathan (ADNOC Refining - HQ) So what forecast it will show I mean show us? Based upon what is the quantity or it will give us the schedule of planning?

1:27:41 - MM- SKEC2 - L08 It will give you quantity and the month in which it should be planned.

1:27:46 - Arunkumar Viswanathan (ADNOC Refining - HQ) So if I run a report on January that means in case if I want to raise the PR by March whether it will alert me to Yes.

1:27:58 - MM- SKEC2 - L08 So if there is a new material, if it is a catalyst, if you're saying there is a material called catalyst, and it is having infrequent consumption, so based upon whatever consumption history it is having, IDP will propose a demand. And for that demand, it will propose a supply plan. And that would be in line with the lead time parameters you have entered, so that before the lead time, you get to raise the PR.

1:28:29 - Unidentified Speaker Can I ask a question here?

1:28:32 - Hector Palacios When we are talking about infrequent, what we are saying about infrequent is like once a year or are we talking about much more frequent than that? Who was asking the question about this?

1:28:55 - Yaser Salem Bin Zubaa (ADNOC - GP) I think your question regarding the frequency of the item.

1:29:00 - Arunkumar Viswanathan (ADNOC Refining - HQ) I don't know. Yeah, yeah. Yeah, yeah. Alert us. Alert me to when I should raise the PR. That is me.

1:29:10 - Unidentified Speaker I don't.

1:29:11 - Arunkumar Viswanathan (ADNOC Refining - HQ) It are my question is different and your answer is maybe related to Rahul or Kunal's explanation.

1:29:20 - Hector Palacios Yeah, but I seen that it's very important to understand the frequency, because depending on the frequency, maybe you want to trigger your PRs based on the forecast, or maybe you want to trigger your PRs based on a reorder point.

1:29:37 - Abdulrahman Al Meqbaali (Borouge) That's what I am asking. It's related to this? Gentlemen, I think, I feel there is some similarities between what you are planning to do for this Okay, and the MRP type P3 or P4, which is for timefence planning.

1:30:00 - Unidentified Speaker Planning timefence.

1:30:01 - Abdulrahman Al Meqbaali (Borouge) If you will allow me, I will share the screen quickly to show you what I mean here. Because this MRP within, for example, you give within this period, I want you to calculate for me if I need to deliver for forecasting, if I need how much PO I need, or how much PR I need. The system will calculate for you. Also, the system will show you if there is any postponement or preponement should be done for the deliveries. I will share in the chat.

1:30:46 - Unidentified Speaker Just to give an example.

1:30:52 - Arunkumar Viswanathan (ADNOC Refining - HQ) Kunal or Rahul, and there is one more scenario given in refining now there are some chemicals we are codifying for trial purpose maybe as part of qualifying the new manufacturer or identifying the equivalent manufacturer no so how to have this kind in the inventory parameters or the forecast for the new items see these items we will not know whether we are going to replenish or we initially as part of testing process we will be codifying those items.

1:31:37 - MM- SKEC2 - L08 So Arun this was discussed in one of the sessions right where what was discussed for that if there is such trial chemicals then you use trial chemicals in production so that with the actual chemical which is getting replaced by this trial chemicals which is intended to be replaced by the trial chemical so you reduce the demand of the actual one and you increase the demand of this trial chemical so that you can use the trial chemicals probably say for three months, six months till you are confirmed that this is something which will.

1:32:14 - Unidentified Speaker Which can work for you, correct?

1:32:16 - Arunkumar Viswanathan (ADNOC Refining - HQ) Maybe correct or not 100% correct also, because sometimes no, even the trial it may get failed within the first month, so I cannot reduce the stock of the existing item number.

1:32:28 - MM- SKEC2 - L08 So the same new material process has the feasibility of phase in, phase out, which means we can have a material which is new material, which is a trial material. And we can have an old material, which is supposed to get replaced, which is not replaced. And we can have demand for both old material and new material. And then based upon the trials, you can reduce the demand old material and you can reduce increase the demand for the new trial material and the system will allow you to do the forecasting for both the materials and then once the trial is complete you can then decide what percent gets allocated to old material what percent gets allocated to new material so this all that can be part of the new introduction new material introduction process.

1:33:19 - Arunkumar Viswanathan (ADNOC Refining - HQ) See this temporary code what we are planning for the trial purpose it is maybe only to identify an additional manufacturer for the existing item number. Yeah, so nowhere in the consumption it will get increase or decrease. But then you you have this material code created, right?

1:33:36 - MM- SKEC2 - L08 You know currently it is a single source.

1:33:39 - Arunkumar Viswanathan (ADNOC Refining - HQ) We do have a competitive tender and we are qualifying an additional manufacturer. Yes, instead of using the same item number, we are going from temporary item number only for the trial purpose.

1:33:51 - MM- SKEC2 - L08 So currently we are codifying on a pdk category so so if if you have the stock levels yeah so if you if you have the material if you have the material created in s4 hana even if it is temporary material that material can come into ibp whatever requirement you have for this temporary material can be the demand for that material so that the demand or the forecast whether it is mandatory requirement for coding When you say codifying, what

1:34:22 - Arunkumar Viswanathan (ADNOC Refining - HQ) do you mean by codifying? For the new item introduction.

1:34:26 - Unidentified Speaker See.

1:34:26 - MM- SKEC2 - L08 Demand is required for for you to procure. Or do the supply planning. If there is no demand, why would you procure something which means? If you if you intend to procure any material, you need to have demand for that material for for you to create demand, you will need material code in IBM. So that against that model code the the demand can be entered and for the same model for which the demand is mentored. You can create a PR and P1 procure the new model even if it is for trial. So it has to follow to the process. Does it answer your question?

1:35:11 - Arunkumar Viswanathan (ADNOC Refining - HQ) So then what is the demand forecast?

1:35:14 - MM- SKEC2 - L08 It is a manual input again. Use whatever information which is available if if there is no history and you are trying to do trial system does not have that information that information is with you so if that information is with you you should provide that

1:35:27 - Arunkumar Viswanathan (ADNOC Refining - HQ) information to system oh where we have to provide this information in the in the demand planning sheet only as part of the file I have to fill the quantity yeah you just need to yeah so the material is available

1:35:39 - MM- SKEC2 - L08 you just need to put quantities when you need that material to be appropriate and then it gets it becomes part of the planning process okay okay Rahul that quantity has to be mentioned as a consumption quantity or max level

1:35:55 - Aysha Abdulla Al Ali (ADNOC - GP) or ROP level this is what I don't get it so no consumption it's a trail item no history of consumption so where I have to manually You have to enter this quantity.

1:36:15 - MM- SKEC2 - L08 You have to enter this quantity. So you need to directly see it. So suppose if you need, say, let's take an example that there is a chemical which is required, say 10 liters for three months for trial. I'm just putting a sub number so you will have the material code created for this chemical in the demand planning sheet. You will have the material code available against that material code in which months you want to trial you need to put as this 10 quantity 10 litre each for three months suppose so you put 10 litre against that metal in those months three months and that will become the requirement on forecast or demand for that material which will go into supply planning and procurement proposal will be created against it.

1:37:01 - Aysha Abdulla Al Ali (ADNOC - GP) Okay.

1:37:01 - Arunkumar Viswanathan (ADNOC Refining - HQ) So it seems like one item also or it has to be a group of items Yeah.

